eCommerce-Ishbel/ecom-app-product/ISH-2447-1,1742927,1.0,1742927,1742927
eCommerce-Denali/inventory/develop,1740856,1.0,2031090,1740856
eCommerce-Ishbel/ecom-app-product/heroimage-override-fix,1731224,1.0,1731224,1731224
eCommerce-Marcy/ecom-app-product/KIMCHI-2003,1721114,1.0,1721114,1721114
eCommerce-Ishbel/ecom-app-product/feature-direct-add-to-cart-yman-copy-10-3-22,1712131,1.0,1712131,1712131
eCommerce-Marcy/ecom-app-product/KIMCHI-2003-graphical-step-attribute-fixes,1708086,3.0,1742926.2,1708086
eCommerce-Flatirons/ecom-app-order-servicing/qa35-develop,1693879,2.5,2262392.8,1693879
eCommerce-Calinga/ecom-app-customer/RM-38002,1686653,2.0,2059524.2,1686653
eCommerce-Ishbel/ecom-app-product/FEATURE-ISH-2428,1686635,4.8,1885997,1686635
eCommerce-Boyne/ecom-app-product/testbranch,1675985,2.0,1675985,1675985
eCommerce-Flatirons/ecom-app-order-servicing/PM-18125,1668566,3.0,2169440.6,1668566
eCommerce-Boyne/vue-component-ecom-product-recommendations/rm-37884,1665383,6.0,1665383,1665383
eCommerce-Castle/ecom-app-product/z-index-issue,1664324,1.0,1664324,1664324
eCommerce-Ishbel/ecom-app-product/feature-direct-atc-yman,1661880,2.0,1661880,1661880
eCommerce-Rimo/ecom-app-product/RM-37794-New,1659248,3.0,1693600.6,1659248.5
eCommerce-Castle/ecom-app-product/PM-18024-release,1655504,2.0,1655504,1655504
eCommerce-Boyne/ecom-app-product/rm-37600,1653969,4.0,1752048.4,1653968.6666667
eCommerce-Castle/ecom-app-shop/deploy-qa57-shop,1639083,3.6,1831265.4,1639082.8
eCommerce-Rimo/ecom-app-product/RM-37794,1634774,6.0,1761743.8,1634773.6666667
eCommerce-Denali/ecom-app-shop/PM-18197,1629590,1.0,1629590,1629590
eCommerce-Ramen/ecom-app-shop/env-qa50,1623816,1.0,1656255.8,1623816.5
eCommerce-Denali/ecom-app-shop/PM-18053-vis-nav,1619055,2.5,1780620.4,1619055
eCommerce-Denali/ecom-app-shop/search-mfe,1614951,4.2,1740232.2,1614951.2
eCommerce-Ishbel/ecom-app-product/regenerate_package-lock,1611892,2.0,1887754.6,1611892
